Kod;Nazwa;Cena;C. zakupu-PLN;Stan zasobów;Ilość;Jm;Typ;Ilość dostępna;Ilość minimalna;Rezerwacje;Braki;Zamówienia;Wartość-PLN
COMO DESIGN 120T;Wentylator łazienkowy COMO Design 120T;115,00;100,00;Stan towaru powyżej ilości minimalnej;4,00;SZT;TP;4,00;0,50;0,00;0,00;0,00;460,00
COROPLAST 100X100 LATO 930;Taśma aluminiowa Coroplast 100mm x 100mb lato;56,40;47,00;Stan towaru powyżej ilości minimalnej;8,00;SZT;TP;8,00;0,00;0,00;0,00;0,00;451,20
COROPLAST 75X100 LATO 930;Taśma aluminiowa Coroplast 75 mm x 100 mb lato 930;42,00;33,50;Stan towaru poniżej ilości minimalnej;218,00;SZT;TP;218,00;245,00;0,00;0,00;944,00;9 156,00
COROPLAST 75X100 ZIMA 1530;Taśma aluminiowa Coroplast 75 mm x 100 mb zimowa 1530;47,73;38,78;Stan towaru powyżej ilości minimalnej;95,00;SZT;TP;95,00;23,00;0,00;0,00;724,00;4 534,35
CWDO-C-100-Z;Czerpnia / wyrzutnia dachowa typ C – CWDO-C-100;55,00;45,82;Stan towaru powyżej ilości minimalnej;26,00;SZT;TZ;26,00;0,00;0,00;0,00;0,00;1 430,00
CWDO-C-125-Z;Czerpnia / wyrzutnia dachowa typ C – CWDO-C-125;76,99;57,60;Stan towaru powyżej ilości minimalnej;10,00;SZT;TZ;10,00;1,00;0,00;0,00;68,00;769,90
CWDO-C-160 (P);Czerpnia / wyrzutnia dachowa typ C – CWDO-C-160;140,00;9,68;Stan towaru powyżej ilości minimalnej;2,00;SZT;TZ;2,00;1,50;0,00;0,00;35,00;280,00
CWDO-C-200-Z;Czerpnia / wyrzutnia dachowa typ C – CWDO-C-200;133,69;81,20;Stan towaru powyżej ilości minimalnej;7,00;SZT;TZ;7,00;0,00;0,00;0,00;3,00;935,83
CWDO-C-250-Z;Czerpnia / wyrzutnia dachowa typ C – CWDO-C-250;104,40;10,00;Stan towaru powyżej ilości minimalnej;7,00;SZT;TZ;7,00;0,00;0,00;0,00;4,00;730,80
CWDO-C-315-Z;Czerpnia / wyrzutnia dachowa typ C – CWDO-C-315;145,40;0,01;Stan towaru powyżej ilości minimalnej;32,00;SZT;TZ;32,00;0,00;0,00;0,00;1,00;4 652,80
CZW-125/100;Czwórnik 125/100;37,31;0,01;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;37,31
CZW-160/100;Czwórnik 160/100;33,53;27,94;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;67,06
CZW200/125/P;Czwórnik 200/125 (prod);22,76;9,36;Stan towaru powyżej ilości minimalnej;1,00;SZT;TZ;1,00;0,00;0,00;0,00;0,00;22,76
CZW-315/100;Czwórnik 315/100;45,10;37,58;Stan towaru powyżej ilości minimalnej;9,00;SZT;TP;9,00;0,00;0,00;0,00;0,00;405,90
CZW-315/200;Czwórnik 315/200;42,07;0,01;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,00;0,00;0,00;0,00;84,14
CZW-400/250;Czwórnik CZW-400/250;129,89;0,01;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;0,00;0,00;0,00;0,00;129,89
CZYŚCIKDOPIANY;Czyścik pistoletowy do piany 500ml;19,08;14,00;Stan towaru powyżej ilości minimalnej;1,00;SZT;TP;1,00;1,00;0,00;0,00;1,00;19,08
DEKIEL RONDO 125;Dekiel RONDO 125;0,00;0,00;Usługa;0,00;SZT;UP;0,00;0,00;0,00;0,00;0,00;0,00
DOBIJAK M10;Dobijak do tulei M10;17,40;14,50;Stan towaru powyżej ilości minimalnej;3,00;SZT;TP;3,00;0,00;0,00;0,00;0,00;52,20
DOBIJAK M8;Dobijak do kotew M8;16,68;14,50;Stan towaru powyżej ilości minimalnej;2,00;SZT;TP;2,00;0,50;0,00;0,00;0,00;33,36
DS-100;Dekiel DS-100;5,21;0,01;Stan towaru powyżej ilości minimalnej;174,00;SZT;TP;174,00;8,00;0,00;0,00;20,00;906,54
DS-125;Dekiel DS-125;2,99;2,00;Stan towaru powyżej ilości minimalnej;52,00;SZT;TP;52,00;39,50;0,00;0,00;210,00;155,48
DS-160;Dekiel DS-160;4,61;2,60;Stan towaru powyżej ilości minimalnej;82,00;SZT;TP;82,00;23,50;0,00;0,00;30,00;378,02
DS-160U;Dekiel z uszczelką DS-160U;13,87;11,56;Stan towaru powyżej ilości minimalnej;5,00;SZT;TP;5,00;0,00;0,00;0,00;0,00;69,35
DS-200;Dekiel DS-200;4,99;3,60;Stan towaru powyżej ilości minimalnej;101,00;SZT;TP;101,00;42,50;0,00;0,00;270,00;503,99
DS-250;Dekiel DS-250;6,43;5,10;Stan towaru powyżej ilości minimalnej;99,00;SZT;TP;99,00;19,50;0,00;0,00;157,00;636,57
DS-315;Dekiel DS-315;10,86;8,00;Stan towaru powyżej ilości minimalnej;64,00;SZT;TP;64,00;5,50;0,00;0,00;35,00;695,04
DS-355;Dekiel DS-355;12,82;0,01;Stan towaru powyżej ilości minimalnej;26,00;SZT;TP;26,00;1,00;0,00;0,00;0,00;333,32
